Calculation of the systematic error due to the yield extraction RAWDATA 

fGGYields
Bin 	 Right 	 Right Wide 	 Right Narr
0.5-1.4	1756+-41.9047	2196+-46.8615	1262+-35.5246
1.4-1.9	38244+-195.561	46561+-215.78	28587+-169.077
1.9-2.4	52217+-228.51	62321+-249.642	40425+-201.06
2.4-2.9	37767+-194.337	44559+-211.09	29693+-172.317
2.9-3.4	24938+-157.918	29068+-170.493	20033+-141.538
3.4-3.9	16599+-128.837	19235+-138.69	13668+-116.91
3.9-4.4	10934+-104.566	12460+-111.624	9057+-95.1683
4.4-4.9	6967+-83.4686	8052+-89.7329	5698+-75.4851
4.9-5.4	4970+-70.4982	5657+-75.213	4176+-64.622
5.4-5.9	3423+-58.5064	3919+-62.6019	2815+-53.0566
5.9-6.4	2533+-50.3289	2835+-53.2447	2127+-46.1194
6.4-6.9	1844+-42.9418	2093+-45.7493	1519+-38.9744
6.9-7.4	1295+-35.9861	1437+-37.9078	1067+-32.665
7.4-7.9	1037+-32.2025	1121+-33.4813	866+-29.4279
7.9-8.4	789+-28.0891	852+-29.189	666+-25.807
8.4-9.4	1140+-33.7639	1204+-34.7131	969+-31.1288
9.4-10.4	620+-24.8998	675+-26.0192	518+-22.7596
10.4-11.4	381+-19.5192	418+-20.5426	334+-18.2757
11.4-12.4	240+-15.5242	261+-16.2788	213+-14.5945
12.4-13.4	158+-12.6886	166+-13.1909	134+-11.5758
13.4-14.4	98+-10	109+-10.7703	82+-9.05539
14.4-15.4	60+-8.30662	66+-9	50+-7.28011
15.4-16.4	43+-7.07107	52+-8.06226	36+-6.08276
16.4-17.5	22+-5.56776	32+-6.7082	15+-4.58258
17.5-21	46+-7.2111	54+-8.12404	33+-5.83095

fTotalBckYields
Bin 	 Right 	 Right Wide 	 Right Narr 	 Left 	 Left Wide 	 Left Narr
0.5-1.4	1117.55+-51.6394	1516.38+-72.2586	706.882+-31.7182	1153.74+-50.7747	1553.45+-71.0148	734.524+-31.2199
1.4-1.9	22021.1+-324.122	29889.9+-454.927	13916+-198.421	22246.8+-342.355	29986.1+-480.515	14131.5+-209.646
1.9-2.4	26998.4+-299.848	36801.4+-420.439	16992+-183.784	27173.6+-314.738	36860.7+-441.124	17152+-193.146
2.4-2.9	17044.9+-206.445	23556.6+-292.692	10437.6+-123.369	17182.8+-212.71	23673.2+-301.076	10545.6+-127.603
2.9-3.4	10324+-153.637	14271.7+-217.66	6317.77+-91.9134	10422+-157.946	14364.8+-223.102	6387.44+-95.1205
3.4-3.9	6889.97+-118.529	9427.84+-165.872	4318.35+-72.8728	6972.53+-124.203	9497.01+-172.773	4375.28+-77.3309
3.9-4.4	4131.84+-93.7434	5659.52+-131.108	2588.99+-57.6963	4154.02+-100.044	5678.11+-138.975	2603.2+-62.4601
4.4-4.9	2647.96+-67.6256	3664.57+-95.5696	1622.63+-40.6471	2689.95+-73.6538	3702.14+-102.907	1660.96+-45.372
4.9-5.4	1835.65+-56.1377	2511.42+-78.2976	1151.96+-34.7158	1864.82+-61.4841	2538.94+-84.6598	1174.4+-39.0302
5.4-5.9	1234.45+-45.5995	1709.87+-64.3222	756.761+-27.5152	1275.97+-50.2364	1759.34+-69.6234	788.731+-31.4465
5.9-6.4	799.374+-36.5946	1105.61+-51.5036	497.874+-22.1891	836.833+-40.9085	1153.67+-56.6116	532.628+-25.7284
6.4-6.9	525.698+-34.6773	723.937+-48.8216	325.548+-21.0063	553.491+-37.6472	761.015+-52.3404	345.311+-23.4205
6.9-7.4	376.836+-28.2522	505.825+-39.2363	242.613+-17.6288	406.409+-31.1839	538.859+-42.6438	265.961+-20.0677
7.4-7.9	232.68+-21.8342	305.789+-30.1586	144.505+-13.7074	252.355+-23.3623	327.494+-31.9063	155.337+-14.9554
7.9-8.4	125.258+-18.3404	172.159+-25.26	78.9579+-11.6018	123.376+-17.9307	169.106+-24.7428	77.925+-11.2973
8.4-9.4	177.651+-21.4507	234.417+-29.2203	112.979+-13.8041	161.95+-19.8098	213.874+-27.239	103.491+-12.525
9.4-10.4	112.085+-14.8879	148.161+-20.2007	68.6141+-9.56124	102.468+-12.4607	136.729+-17.243	63.3893+-7.71801
10.4-11.4	88.5112+-13.1383	115.084+-17.2432	59.7136+-9.03919	68.2193+-8.85487	90.7698+-12.1866	44.1231+-5.53787
11.4-12.4	41.4388+-9.12238	58.1479+-12.1005	23.101+-6.00473	40.8692+-6.28213	55.5981+-8.67697	25.079+-3.86516
12.4-13.4	36.5139+-8.09116	47.1134+-10.638	24.0412+-5.53764	22.9233+-5.78926	30.6014+-8.01457	14.7443+-3.59621
13.4-14.4	25.2374+-8.54569	33.1589+-11.1793	13.0815+-5.64475	19.9362+-5.49867	26.8326+-7.57676	11.7657+-3.39575
14.4-15.4	10.8801+-6.67671	17.5683+-8.94173	6.8101+-4.4944	10.0935+-4.35465	13.2795+-6.01906	6.58069+-2.71006
15.4-16.4	30.1421+-8.63545	35.0351+-10.8805	24.0414+-6.44665	13.8766+-4.39168	18.6829+-6.11613	8.71949+-2.67307
16.4-17.5	30.7306+-6.87847	39.3196+-8.46757	24.2827+-5.44302	28.1098+-6.46076	36.0821+-8.05089	21.9702+-4.97092
17.5-21	40.6438+-10.4104	48.4887+-12.7929	32.7119+-8.09851	29.6887+-8.48512	35.8787+-10.8947	23.3925+-6.11867

fMesonYields
Bin 	 Right 	 Right Wide 	 Right Narr 	 Left 	 Left Wide 	 Left Narr
0.5-1.4	638.454+-66.5029	679.621+-86.1237	555.118+-47.624	602.256+-65.8337	642.55+-85.0829	527.476+-47.2936
1.4-1.9	16222.9+-378.549	16671.1+-503.507	14671+-260.688	15997.2+-394.272	16574.9+-526.741	14455.5+-269.329
1.9-2.4	25218.6+-376.996	25519.6+-488.968	23433+-272.399	25043.4+-388.944	25460.3+-506.864	23273+-278.802
2.4-2.9	20722.1+-283.525	21002.4+-360.87	19255.4+-211.927	20584.2+-288.119	20885.8+-367.704	19147.4+-214.419
2.9-3.4	14614+-220.323	14796.3+-276.485	13715.2+-168.763	14516+-223.35	14703.2+-280.789	13645.6+-170.531
3.4-3.9	9709.03+-175.066	9807.16+-216.214	9349.65+-137.762	9626.47+-178.956	9737.99+-221.552	9292.72+-140.172
3.9-4.4	6802.16+-140.434	6800.48+-172.19	6468.01+-111.292	6779.98+-144.716	6781.89+-178.253	6453.8+-113.834
4.4-4.9	4319.04+-107.425	4387.43+-131.094	4075.37+-85.7332	4277.05+-111.319	4349.86+-136.535	4037.04+-88.0716
4.9-5.4	3134.35+-90.119	3145.58+-108.57	3024.04+-73.3566	3105.18+-93.543	3118.06+-113.244	3001.6+-75.4941
5.4-5.9	2188.55+-74.1776	2209.13+-89.7572	2058.24+-59.7669	2147.03+-77.1148	2159.66+-93.6291	2026.27+-61.6756
5.9-6.4	1733.63+-62.2267	1729.39+-74.0785	1629.13+-51.1796	1696.17+-64.8576	1681.33+-77.7166	1594.37+-52.8105
6.4-6.9	1318.3+-55.1953	1369.06+-66.907	1193.45+-44.2749	1290.51+-57.1079	1331.99+-69.5163	1173.69+-45.47
6.9-7.4	918.164+-45.7514	931.175+-54.5572	824.387+-37.1184	888.591+-47.6176	898.141+-57.057	801.039+-38.3368
7.4-7.9	804.32+-38.9067	815.211+-45.0615	721.495+-32.4637	784.645+-39.7844	793.506+-46.2494	710.663+-33.0101
7.9-8.4	663.742+-33.5466	679.841+-38.6014	587.042+-28.2949	665.624+-33.3243	682.894+-38.265	588.075+-28.1714
8.4-9.4	962.349+-40.0017	969.583+-45.3743	856.021+-34.0522	978.05+-39.1463	990.126+-44.1244	865.509+-33.5541
9.4-10.4	507.915+-29.0112	526.839+-32.9404	449.386+-24.6864	517.532+-27.8437	538.271+-31.2141	454.611+-24.0326
