Calculation of the systematic error due to the yield extraction RAWDATA 

fGGYields
Bin 	 Right 	 Right Wide 	 Right Narr
0.5-1.4	7379+-85.9011	9261+-96.2341	5113+-71.5052
1.4-1.9	149291+-386.382	181654+-426.209	111239+-333.525
1.9-2.4	189149+-434.913	225660+-475.037	146122+-382.259
2.4-2.9	134209+-366.345	158200+-397.744	104773+-323.687
2.9-3.4	87625+-296.015	102200+-319.687	69884+-264.356
3.4-3.9	58173+-241.191	67032+-258.905	47610+-218.197
3.9-4.4	38318+-195.75	43966+-209.681	31759+-178.211
4.4-4.9	25426+-159.455	29087+-170.549	20858+-144.423
4.9-5.4	17425+-132.004	19877+-140.986	14383+-119.929
5.4-5.9	12680+-112.606	14410+-120.042	10513+-102.533
5.9-6.4	9019+-94.9684	10243+-101.208	7452+-86.325
6.4-6.9	6741+-82.1036	7506+-86.6372	5574+-74.6592
6.9-7.4	5018+-70.8378	5587+-74.7462	4204+-64.8383
7.4-7.9	3776+-61.4492	4167+-64.5523	3181+-56.4004
7.9-8.4	2839+-53.2823	3112+-55.7853	2395+-48.9387
8.4-9.4	3984+-63.1189	4301+-65.582	3398+-58.2924
9.4-10.4	2410+-49.0918	2604+-51.0294	2023+-44.9778
10.4-11.4	1431+-37.8286	1545+-39.3065	1227+-35.0286
11.4-12.4	915+-30.249	997+-31.607	769+-27.7308
12.4-13.4	651+-25.5343	713+-26.7582	564+-23.7487
13.4-14.4	386+-19.6469	427+-20.7364	301+-17.3494
14.4-15.4	281+-16.7929	316+-17.9165	225+-15
15.4-16.4	148+-12.2474	171+-13.3041	123+-11.0905
16.4-17.5	105+-10.3923	125+-11.5326	82+-9.05539
17.5-21	167+-13	201+-14.3178	131+-11.4455

fTotalBckYields
Bin 	 Right 	 Right Wide 	 Right Narr 	 Left 	 Left Wide 	 Left Narr
0.5-1.4	4721.96+-96.5482	6485.78+-136.629	2903.67+-57.7903	4883.07+-94.8753	6648.26+-134.192	3021.38+-56.859
1.4-1.9	84710.8+-663.531	115157+-931.519	53497.2+-406.087	85438.8+-706.563	115228+-991.95	54320.9+-432.536
1.9-2.4	94422.6+-624.134	128716+-875.714	59418.6+-382.236	91460.7+-623.233	125371+-884.766	56272.1+-372.038
2.4-2.9	58216.7+-434.12	80549.5+-616.139	35614.9+-259.06	58576.3+-451.952	80741.5+-640.714	35940.8+-270.452
2.9-3.4	35978.3+-310.211	49883.4+-439.979	21959.1+-185.291	36320.9+-322.197	50185.7+-455.712	22212.4+-193.666
3.4-3.9	23053.7+-233.988	31611.3+-327.78	14434.5+-143.643	23337.9+-245.234	31875.8+-341.808	14641.3+-152.17
3.9-4.4	14404.4+-185.714	19754+-260.08	9026.29+-114.081	14582.3+-198.398	19923.1+-275.841	9171.52+-123.751
4.4-4.9	9134.94+-139.185	12658.3+-197.091	5570.18+-83.4027	9392.67+-152.097	12919.4+-212.791	5742.95+-93.5074
4.9-5.4	5869.21+-111.557	8140.05+-157.799	3585.75+-66.9799	5942.72+-124.758	8216.44+-174.16	3645.36+-77.0486
5.4-5.9	4017.66+-90.8706	5559.88+-128.359	2459.53+-54.6886	4115.3+-101.192	5662.43+-140.892	2535.01+-62.7853
5.9-6.4	2654.46+-80.0659	3676.74+-113.036	1616.14+-48.2377	2714.73+-89.3874	3760.22+-124.633	1644+-55.274
6.4-6.9	1745.47+-71.8482	2366.44+-100.195	1104.11+-44.4844	1829.53+-79.0432	2469.82+-109.129	1160.09+-49.9507
6.9-7.4	1100+-57.8328	1487.33+-80.3702	703.015+-36.001	1158.64+-61.7793	1567.61+-85.1658	742.508+-39.1035
7.4-7.9	895.211+-45.6572	1188.1+-63.1927	560.826+-28.589	954.162+-48.9703	1254.53+-67.095	594.146+-31.2369
